orden,rio,detalle,monto,del_departamento,fuente
1,La Caldera,,80000,1,Presupuesto 1949 Item 6 (BO 3341 h12)
2,Mojotoro,,50000,1,Presupuesto 1949 Item 6 (BO 3341 h12)
3,Wierna,,10000,1,Presupuesto 1949 Item 6 (BO 3341 h12)
4,Vaqueros,,10000,1,Presupuesto 1949 Item 6 (BO 3341 h12)
5,Resto del item,catorce rios de otros departamentos e imprevistos; el libro no transcribe su detalle,310000,0,Presupuesto 1949 Item 6 (BO 3341 h12): total 460.000 menos los cuatro del departamento
